Tasks,Package_python,DRAM_python,Energy_python,Time_python,Package_R,DRAM_R,Energy_R,Time_R,,
Decision Tree,11303.81,6780.85,18084.66,115.451,57.59,34.1,91.69,0.596,,
Gaussian Naive Bayes,0.84,0.49,1.33,0.016,9.6,5.66,15.26,0.097,,
Logistic Regression,6.93,4.44,11.37,0.062,528.34,237,765.34,,,
Random Forest ,247.34,301.39,548.73,5.716,1037.92,169.45,1207.37,,,
Support Vector Machine,5032.91,6276,11308.91,108.267,76371.35,4120.02,80491.37,4.041,,
,,,,,,,,,,
Decision Tree,4218.79,2527.05,6745.84,43.234,6.5,3.72,10.22,0.064,,
Gaussian Naive Bayes,0.37,0.22,0.59,0.007,0.49,0.29,0.78,0.004,,
Logistic Regression,0.16,0.17,0.33,0.006,5.02,1.3,6.32,,,
Random Forest ,4.71,5.44,10.15,0.145,191.65,22.67,214.32,,,
Support Vector Machine,1880.27,2341.05,4221.32,43.191,14151.96,1132.35,15284.31,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Tasks,Python,R,,,,Tasks,Python,R
,,Decision Tree,6745.84,10.22,,,,Decision Tree,18084.66,91.69
,,Gaussian Naive Bayes,0.59,0.78,,,,Gaussian Naive Bayes,1.33,15.26
,,Logistic Regression,0.33,6.32,,,,Logistic Regression,11.37,765.34
,,Random Forest ,10.15,214.32,,,,Random Forest ,548.73,1207.37
,,Support Vector Machine,4221.32,35284.31,,,,Support Vector Machine,11308.91,80491.37
