Tasks,Package_python,DRAM_python,Energy_python,Time_python,Package_R,DRAM_R,Energy_R,Time_R,,,
Decision Tree,5,5,10,0.08,2.15,0.22,2.37,0.021,,,
Gaussian Regression,4483.33,365.55,4848.89,31.46,36.92,3.64,40.56,0.382,,,
Linear Regression,1.07,0.16,1.3,0.019,17.59,1.71,19.3,0.181,,,
Neural Network Regression,3501.85,113.12,3614.97,11.624,56.79,5.88,62.67,0.588,,,
SVM,885.85,76.54,962.39,9.01,1923,175,2098,19.694,,,
,,,,,,,,,,,
test_decision_tree_regression_inference,0.41,0.06,0.47,0.008,0.37,0.03,0.4,0.003,,,
test_test_gaussian_regression_inference,1504.26,123.24,1627.5,8.234,2.39,0.24,2.63,0.023,,,
test_linear_regression_inference,0.59,0.07,0.66,0.009,17.5,1.75,19.25,0.177,,,
neural_network_regression_inference,3.53,0.3,3.83,0.03,0.32,0.03,0.35,0.002,,,
test_support_vector_regression_inference,234.16,19.83,254,2.399,0.37,0.03,0.4,0.003,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Tasks,Python,R
,,,,,,,,,Decision Tree,10,2.37
,,,,,,,,,Gaussian Regression,4848.89,40.56
Tasks,Python,R,,,,,,,Linear Regression,1.3,19.3
Decision Tree,0.47,0.4,,,,,,,Neural Network Regression,3614.97,62.67
Gaussian Regression,1627.5,2.63,,,,,,,SVM,962.39,2098
Linear Regression,0.66,19.25,,,,,,,,,
Neural Network Regression,3.83,0.35,,,,,,,,,
SVM,254,0.4,,,,,,,,,
